"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Prithvi Softech Ltd.","Technology","Computer Software","26.05","Dec 24, 2015","31.05","20.7","7.1","0.72","1.92","1.22","1.82","3.26"
"Priya Ltd.","Technology","Computer Hardware","40.1","Dec 24, 2015","48","26.55","6.24","0.36","2.49","7.09","0.1","2.23"
"PVP Ventures Ltd.","Technology","Computer Software","6.3","Dec 24, 2015","8.9","4.25","323.84","0.24","0","14.72","3.05","2.35"
"Quest Softech (India) Ltd.","Technology","Computer Software","4.2","Dec 24, 2015","8.88","3.25","60","0.9","0","13.74","8.48","26.2"
"Quintegra Solutions Ltd.","Technology","Computer Software","0.65","Dec 24, 2015","1.5","0.55","0.29","-0.09","0","2.08","91.73","0.83"
"R Systems International Ltd","Technology","Computer Software","77.95","Dec 24, 2015","100","58.8","9.3","4.48","7.52","9.72","1.58","13.65"
"Ramco Systems Ltd.","Technology","Computer Software","782.2","Dec 24, 2015","1110.45","417","78.93","3.93","0","42.39","9.56","106.79"
"RAMINFO LTD.","Technology","Computer Software","27.3","Dec 24, 2015","43.9","23.25","17.01","2.19","0","9.96","1.15","9.84"
"Ranklin Solutions Ltd","Technology","Computer Software","1.63","May 21, 2015","2.37","1.58","0","0.06","30.67","90.33","2.82","-0.35"
"Redington India Ltd.","Technology","Computer Hardware","120","Dec 24, 2015","142.8","90.25","11.93","1.82","1.59","16.26","0.39","18.68"
"Religare Technologies Ltd.","Technology","Computer Software","38.5","Dec 24, 2015","64","23.75","0","-0.07","0","158.51","2.32","-0.64"
"Response Informatics Ltd.","Technology","Computer Software","4.07","Nov 23, 2015","9.8","4.07","0","0.39","0","-34.36","3.59","-8.17"
"Rolta India Ltd.","Technology","Computer Hardware","103.05","Dec 24, 2015","196.8","84.2","8.5","1.49","2.91","4.71","0.43","3.79"
"RS Software (India) Ltd.","Technology","Computer Software","132.25","Dec 24, 2015","323.7","117","6.61","1.38","2.47","2.69","1.16","5.56"
"Saksoft Limited","Technology","Computer Software","297.45","Dec 24, 2015","297.45","110.5","17.18","2.44","0.83","23.02","6.3","14.1"
"Sankhya Infotech Ltd.","Technology","Computer Software","37.5","Dec 24, 2015","37.5","10.31","19.41","0.57","0","4.96","0.25","5.17"
"Sanmit Infra Ltd.","Technology","Computer Software","7.25","Dec 23, 2015","11.35","3.31","0","5.54","0","-1.39","119.61","-157.69"
"Sapan Chemicals Ltd.","Technology","Computer Software","3.84","Dec 24, 2015","4.66","0.58","0","1.05","0","-0.52","-0.75","-0.56"
"Saven Technologies Ltd.","Technology","Computer Software","27.55","Dec 24, 2015","34.55","12.1","17.04","1.4","6.17","4.05","3.7","4.42"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","27.3","Dec 24, 2015","42.3","15.1","0","4.75","0","37.89","2.94","17.27"
"Secure Earth Technologies Ltd.","Technology","Computer Software","2.01","Jun 22, 2015","3.18","2.01","0","0.23","0","-","-","-"
"Sequel E-Routers Ltd.","Technology","Computer Software","18.1","Dec 24, 2015","32.95","14.11","112.54","2.02","0","87.63","2.62","93.78"
"Seshachal Technologies Ltd","Technology","Computer Software","2.4","Sep 28, 2015","3.03","1.59","53.76","2.56","0","41","13.33","16.26"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","15.5","Dec 24, 2015","16","8.11","189.59","1.16","0","96.67","36.99","-154.33"
